,operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,permit_number,reporting_period,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,total_nitrogen_generated_lbs,total_phosphorus_generated_lbs,total_potassium_generated_lbs,total_salt_generated_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,total_water_balance_gal,total_land_applied_acres,application_method,application_timing,soil_type,monitoring_wells,groundwater_monitoring,surface_water_discharge,stormwater_management,spill_prevention,address,latitude,longitude
192,Fanelli Dairy,7689 Washington RD,Hillmar,Merced,95324,,,,,(209) 668-8097,01/01/1971,San Joaquin River Basin,X045-X190-X007-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7689 Washington RD, Hillmar, CA 95324",37.4002,-120.90517
195,Cross View Dairy,12530 Warnerville RD,Oakdale,Stanislaus,95361,,,,,(209) 847-5872,01/01/1994,San Joaquin River Basin,X010-X019-X005-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12530 Warnerville RD, Oakdale, CA 95361",37.73991,-120.76574
198,Lucas Dairy,11204 Fulkerth RD,Turlock,Stanislaus,95380,,,,,(209) 667-5749,01/01/1938,San Joaquin River Basin,X022-X037-X010-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11204 Fulkerth RD, Turlock, CA 95380",37.50413,-120.97948
202,Antonio Brasil Dairy,15373 S Flanagan RD,Dos Palos,Merced,93620,,,,,(209) 838-7007,11/01/2007,San Joaquin River Basin,"X020-X110-X002-XXXX, X074-X170-X004-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15373 S Flanagan RD, Dos Palos, CA 93620",37.06545,-120.52867
207,Art Silva Dairy #3,3130 Dewitt RD,Modesto,Stanislaus,95357,P.O. Box 885,Riverbank,CA,95367.0,(209) 604-0018,01/01/1949,San Joaquin River Basin,X014-X014-X011-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3130 Dewitt RD, Modesto, CA 95357",37.68314,-120.90728
209,O/L Dairy,22678 W Pioneer RD,Los Banos,Merced,93635,,,,,(209) 826-0187,01/01/1930,San Joaquin River Basin,X008-X200-X025-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22678 W Pioneer RD, Los Banos, CA 93635",37.04247,-120.90312
211,Machado Dairy,7413 S Mitchell RD,Turlock,Stanislaus,95380,,,,,(209) 652-6929,01/01/1970,San Joaquin River Basin,X057-X007-X005-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7413 S Mitchell RD, Turlock, CA 95380",37.42495,-120.94389
212,M and A Dairy #3,13235 Baker RD,Los Banos,Merced,93635,,,,,(209) 826-6242,01/01/1981,San Joaquin River Basin,X073-X200-X004-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13235 Baker RD, Los Banos, CA 93635",37.09482,-120.77301
213,JOHAL DAIRY,315 N PRAIRIE FLOWER ROAD,TURLOCK,Stanislaus,95380,,,,,(209) 634-7817,02/15/1992,San Joaquin River Basin,X022-X045-X032-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"315 N PRAIRIE FLOWER ROAD, TURLOCK, CA 95380",37.49543,-120.93112
225,Vaz Dairy,21876 Sunset RD,Los Banos,Merced,93635,,,,,(209) 826-0109,01/01/1920,San Joaquin River Basin,"X081-X150-X031-XXXX, X083-X180-X013-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21876 Sunset RD, Los Banos, CA 93635",37.02809,-120.8887
226,Frank,2031 Washington RD,El Nido,Merced,95317,,,,,(209) 769-7911,01/01/1972,San Joaquin River Basin,X075-X070-X006-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2031 Washington RD, El Nido, CA 95317",37.11303,-120.52923
229,Frank J Borges Dairy,8350 E Brady RD,Manteca,San Joaquin,95337,,,,,(209) 545-9303,01/01/1960,San Joaquin River Basin,"X257-X220-X004-XXXX, X257-X220-X005-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8350 E Brady RD, Manteca, CA 95337",37.72664,-121.20434
230,Frank N. Rocha Dairy,23125 E Lone Tree RD,Escalon,San Joaquin,95320,,,,,(209) 838-1297,01/01/1950,San Joaquin River Basin,"X205-X230-XX02-XXXX, X207-X360-XX09-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23125 E Lone Tree RD, Escalon, CA 95320",37.82955,-121.02526
231,ANTONE L. GOMES & SONS,515 E STUHR RD,NEWMAN,Stanislaus,95360,,,,,(209) 765-1273,05/10/1948,San Joaquin River Basin,"X049-X026-X002-XXXX, X049-X031-X001-XXXX, X049-X031-X006-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"515 E STUHR RD, NEWMAN, CA 95360",37.33317,-121.01915
232,Homen Dairy Farms,5511 W Sandy Mush RD,Merced,Merced,95341-8404,,,,,(209) 726-4728,05/26/2000,San Joaquin River Basin,X074-X080-X001-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5511 W Sandy Mush RD, Merced, CA 95341-8404",37.1857,-120.59079
233,John Thomas Dairy,10408 W Bradbury RD,turlock,Stanislaus,95380,P.O. Box 1024,Hilmar,CA,95324.0,(209) 678-2670,01/01/1950,San Joaquin River Basin,0057-0003-0002-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10408 W Bradbury RD, turlock, CA 95380",37.44716,-120.96951
234,Borba Dairy Farms,5297 Kelley RD,Hilmar,Merced,95324,,,,,(209) 634-4930,09/01/1994,San Joaquin River Basin,X045-X080-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5297 Kelley RD, Hilmar, CA 95324",37.36614,-120.95591
236,Vitorino & Sons Dairy,3918 S Kilroy RD,Turlock,Stanislaus,95380,,,,,(209) 535-6259,01/01/1950,San Joaquin River Basin,0044-0044-0011-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3918 S Kilroy RD, Turlock, CA 95380",37.45635,-120.87404
238,Kaehler Dairy Farm,1025 E Armstrong RD,Lodi,San Joaquin,95242,,,,,(209) 333-0502,05/05/1953,San Joaquin River Basin,X058-X090-XX27-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1025 E Armstrong RD, Lodi, CA 95242",38.08667,-121.30301
239,Blue Sky Dairy #2,3874 N Franklin RD,Merced,Merced,95348,,,,,(209) 000-0000,01/01/1950,San Joaquin River Basin,X057-X130-X001-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3874 N Franklin RD, Merced, CA 95348",37.34435,-120.53597
240,Fiscalini Farms,4848 Jackson RD,Modesto,Stanislaus,95358,,,,,(209) 545-5495,01/01/1912,San Joaquin River Basin,"X012-X004-X018-XXXX, X012-X004-X019-XXXX, X012-X004-X020-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4848 Jackson RD, Modesto, CA 95358",37.71036,-121.13244
241,,,,,96002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,"nan, nan, CA 96002",40.49125,-122.28651
242,M & M Cardoso & Sons Dairy LTD,16489 August AVE,Delhi,Merced,95315,,,,,(209) 648-4032,04/13/1977,San Joaquin River Basin,X046-X190-X010-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16489 August AVE, Delhi, CA 95315",37.41907,-120.78602
246,Ahlem Farms Partnership,24093 W American AVE,Hilmar,Merced,95324,,,,,(209) 632-5822,01/01/1938,San Joaquin River Basin,"X045-X020-X028-XXXX, X045-X020-X029-XXXX, X045-X180-X006-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24093 W American AVE, Hilmar, CA 95324",37.41148,-120.9281
247,Brasil & Sons Dairy # 2,21728 Lone Tree RD,Escalon,San Joaquin,95320,,,,,(209) 595-3903,01/01/1960,San Joaquin River Basin,"X205-X230-XX08-XXXX, X205-X240-XX19-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21728 Lone Tree RD, Escalon, CA 95320",37.82402,-121.04533
249,Luis C Nunes & Sons Dairy #2,10268 S Highway 33,Gustine,Merced,95322,,,,,(209) 652-7647,01/01/1960,San Joaquin River Basin,"X070-X070-X023-XXXX, X070-X070-X037-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10268 S Highway 33, Gustine, CA 95322",37.14071,-121.01379
250,Cross A Dairy,4125 Bentley RD,Oakdale,Stanislaus,95361,,,,,(209) 847-6050,01/01/1979,San Joaquin River Basin,X014-X008-X004-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4125 Bentley RD, Oakdale, CA 95361",37.69828,-120.87041
251,M & A Dairy #2,13459 S Turner Island RD,Dos Palos,Merced,93620,,,,,(209) 769-8316,01/01/1950,San Joaquin River Basin,X073-X190-X014-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13459 S Turner Island RD, Dos Palos, CA 93620",37.09148,-120.70821
254,Lima Ranch,13436 N Thornton RD,Lodi,San Joaquin,95242,,,,,(209) 334-5422,01/01/1932,San Joaquin River Basin,"X055-X130-XX01-XXXX, X055-X140-XX07-XXXX, X055-X140-XX09-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13436 N Thornton RD, Lodi, CA 95242",38.10004,-121.3829
255,,10213 W MAIN ST,TURLOCK,Stanislaus,95380,,,,,(209) 667-6024,01/01/1942,San Joaquin River Basin,"X022-X041-X001-XXXX, X022-X041-X006-XXXX, X022-X041-X010-XXXX, X022-X041-X011-XXXX, X022-X041-X012-XXXX, X022-X041-X013-XXXX, X022-X043-X011-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10213 W MAIN ST, TURLOCK, CA 95380",37.493,-120.96525
257,Peter DeVisser Dairy,21268 E Avena RD,Escalon,San Joaquin,95320,,,,,(209) 838-7383,01/01/1950,San Joaquin River Basin,X205-X230-XX01-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21268 E Avena RD, Escalon, CA 95320",37.84193,-121.04627
258,John A Machado Dairy Farms,24916 South Manteca RD,Manteca,San Joaquin,95337,P.O. Box 809,Ripon,CA,95366.0,(209) 239-4144,01/01/1938,San Joaquin River Basin,"2571-1004-XXXX-XXXX, 2572-2001-XXXX-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24916 South Manteca RD, Manteca, CA 95337",37.73035,-121.21068
264,Couchman Farms,3107 Illinois AVE,Modesto,Stanislaus,95358,,,,,(209) 527-4956,06/01/1964,San Joaquin River Basin,X017-X036-X017-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3107 Illinois AVE, Modesto, CA 95358",37.59343,-121.06919
271,ORNELLAS,20749 S LAMMERS RD,TRACY,San Joaquin,95304,,,,,(209) 835-5204,01/01/1940,San Joaquin River Basin,"X209-X029-XX15-XXXX, X209-X029-XX16-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20749 S LAMMERS RD, TRACY, CA 95304",37.77085,-121.4784
274,Brooks-Erman Ranch,25873 N Kennefick RD,Galt,San Joaquin,95632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25873 N Kennefick RD, Galt, CA 95632",38.21942,-121.24946
275,E.R. Prins Dairy #2,9863 S Van Allen RD,Stockton,San Joaquin,95215,,,,,(209) 838-1627,01/01/1985,San Joaquin River Basin,X205-X160-XX06-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9863 S Van Allen RD, Stockton, CA 95215",37.87944,-121.05902
276,Silvas Holsteins #2,23356 Short AVE,Hilmar,Merced,95324,,,,,(209) 595-1846,01/01/1910,San Joaquin River Basin,"X045-X130-X004-XXXX, X057-X016-X009-XXXX, X057-X220-X008-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23356 Short AVE, Hilmar, CA 95324",37.42744,-120.91135
277,,,,,95616,,,,,(530) 752-1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nan, nan, CA 95616",38.54673,-121.74454
278,Vista Verde Dairy,8923 Bliss RD,Chowchilla,Merced,93610,,,,,(209) 631-2084,12/01/1980,San Joaquin River Basin,"X075-X020-X025-XXXX, X075-X060-X011-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8923 Bliss RD, Chowchilla, CA 93610",37.15759,-120.38449
282,Charles Ahlem Ranch,23546 W American AVE,Hilmar,Merced,95324,,,,,(209) 668-0867,10/01/1982,San Joaquin River Basin,"X045-X130-X057-XXXX, X045-X180-X037-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23546 W American AVE, Hilmar, CA 95324",37.41376,-120.91356
283,Raymond and Sue Quaresma Dairy,26290 S Union RD,Manteca,San Joaquin,95337,,,,,(209) 825-7774,01/01/1958,San Joaquin River Basin,X257-X120-XX03-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26290 S Union RD, Manteca, CA 95337",37.71566,-121.22458
284,"Hilmar Holsteins, Inc.",21859 Crane AVE,Hilmar,Merced,95324,,,,,(209) 634-7532,09/01/1959,San Joaquin River Basin,"X045-X230-X019-XXXX, X045-X230-X058-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21859 Crane AVE, Hilmar, CA 95324",37.38244,-120.88388
285,Ehrlich Dairy/Azevedo Farms,5725 Ehrlich RD,Turlock,Stanislaus,95380,P.O. Box 2717,Merced,CA,95344.0,(209) 681-8255,01/01/1945,San Joaquin River Basin,"X057-X015-X004-XXXX, X057-X015-X021-XXXX, X057-X016-X010-XXXX, X057-X022-X004-XXXX, X057-X022-X013-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5725 Ehrlich RD, Turlock, CA 95380",37.43561,-120.91559
286,Silvas Holsteins Dairy,6706 Elaine RD,Turlock,Stanislaus,95380,,,,,(209) 632-1223,01/01/1970,San Joaquin River Basin,"X057-X013-X019-XXXX, X057-X220-X010-XXXX, X057-X220-X012-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6706 Elaine RD, Turlock, CA 95380",37.42841,-120.92445
287,Ken VanFoeken Dairy #2,9375 N Washington RD,Hilmar,Merced,95324,,,,,(209) 667-2393,01/01/1945,San Joaquin River Basin,"X045-X130-X011-XXXX, X045-X130-X040-XXXX, X045-X130-X053-XXXX, X045-X130-X058-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9375 N Washington RD, Hilmar, CA 95324",37.42462,-120.90476
289,DeMatos Dairy,931 S Blaker RD,Turlock,Stanislaus,95380,,,,,(209) 579-4831,01/01/1967,San Joaquin River Basin,"X058-X009-X001-XXXX, X058-X009-X002-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"931 S Blaker RD, Turlock, CA 95380",37.48373,-120.9696
292,Garcia's Registered Jerseys,1018 Hickman RD,Turlock,Stanislaus,95380,P.O. Box 544,Denair,CA,95316.0,(209) 669-7838,08/15/2002,San Joaquin River Basin,X024-X008-X017-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1018 Hickman RD, Turlock, CA 95380",37.50246,-120.75477
293,D & D Holsteins,26135 W Malta RD,Gustine,Merced,95322,,,,,(209) 826-1214,11/01/1986,San Joaquin River Basin,0070-0080-0062-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26135 W Malta RD, Gustine, CA 95322",37.25297,-121.00348
294,Vieira Valley Dairy LLC,511 Applegate RD,Atwater,Merced,95301,P.O. Box 635,Atwater,CA,95301.0,(209) 261-8113,01/01/1980,San Joaquin River Basin,"X056-X200-X004-XXXX, X056-X200-X024-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"511 Applegate RD, Atwater, CA 95301",37.29318,-120.61517
297,Verburg & Son Dairy,1142 N Hart RD,Modesto,Stanislaus,95358,,,,,(209) 523-4253,01/01/1975,San Joaquin River Basin,"X120-X380-X080-XXXX, X120-X380-X090-XXXX, X120-X380-X130-XXXX, X120-X380-X140-XXXX, X120-X400-X030-XXXX, X120-X400-X090-XXXX, X120-X400-X100-XXXX, X120-X400-X110-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1142 N Hart RD, Modesto, CA 95358",37.65103,-121.12218
298,Art Silva Dairy,5201 Milnes RD,Modesto,Stanislaus,95357,P.O. Box 885,Riverbank,CA,95367.0,(209) 604-0018,01/01/1945,San Joaquin River Basin,"X014-X015-X003-XXXX, X014-X016-X004-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5201 Milnes RD, Modesto, CA 95357",37.68652,-120.89914
300,Tony Borba Dairy Inc.,23844 E. Dodds RD,Escalon,San Joaquin,95320,,,,,(209) 838-7018,11/01/1955,San Joaquin River Basin,X207-X170-XX02-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23844 E. Dodds RD, Escalon, CA 95320",37.85295,-121.02144
301,,,,,10837,,,,,(916) 870-0419,,,"X132-X132-X027-XXXX,, X132-X132-X038-XXXX",,,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,45.0,45.0,0.0,45.0,0.0,0.0,0.0,0.0,25.0,25.0,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,"nan, nan, CA 10837",18.79317,100.7798
302,Jose V Silveira Dairy,10652 Newsom RD,Gustine,Merced,95322,,,,,(209) 854-1914,01/01/1920,San Joaquin River Basin,"X070-X070-X035-XXXX, X070-X070-X036-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10652 Newsom RD, Gustine, CA 95322",37.13491,-121.00106
304,Double D Dairy #2,3636 E Monte Vista AVE,Ceres,Stanislaus,95307,,,,,(209) 637-4133,12/28/1976,San Joaquin River Basin,X022-X017-X006-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3636 E Monte Vista AVE, Ceres, CA 95307",37.51804,-120.92865
305,Amaral Dairy,4715 County Road N,Orland,Glenn,95963,,,,,(530) 865-7558,10/13/1990,Sacramento River Basin,XX44-XX25-XX12-XXX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4715 County Road N, Orland, CA 95963",39.77426,-122.16204
306,Nelson Farms,5931 W Tuolumne RD,Ceres,Stanislaus,95307,,,,,(209) 632-6197,09/01/1995,San Joaquin River Basin,X023-X005-X004-X000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5931 W Tuolumne RD, Ceres, CA 95307",37.51464,-120.91716
309,Belo Ranches,238 S Buhach RD,Merced,Merced,95342,,,,,(209) 777-3145,01/01/1940,San Joaquin River Basin,X215-X140-X005-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"238 S Buhach RD, Merced, CA 95342",37.28424,-120.57638
310,"Tony Oliveira, Jr. Dairy",27506 W Gun Club RD,Gustine,Merced,95322,,,,,(209) 854-3913,01/01/1901,San Joaquin River Basin,"0063-0160-0010-0000, 0063-0160-0012-0000, 0063-0160-0017-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27506 W Gun Club RD, Gustine, CA 95322",37.2331,-120.98557
311,B & D Dairy,9579 Hultberg RD,Hilmar,Merced,95324,,,,,(209) 652-3534,01/01/1930,San Joaquin River Basin,X045-X130-X039-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9579 Hultberg RD, Hilmar, CA 95324",37.42712,-120.89577
312,John Silveira Dairy #2,29687 Fentem RD,Gustine,Merced,95322,P.O. Box 400,Gustine,CA,95322.0,(209) 587-1796,01/01/1940,San Joaquin River Basin,"X063-X080-X022-XXXX, X063-X080-X023-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29687 Fentem RD, Gustine, CA 95322",37.25704,-121.02493
313,Nyman Brothers Dairy,20445 August AVE,Hilmar,Merced,95324,P.O. Box 1331,Hilmar,CA,95324.0,(209) 495-8821,01/01/1907,San Joaquin River Basin,"0015-0001-0037-0000, 0045-0014-0018-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20445 August AVE, Hilmar, CA 95324",37.41848,-120.85808
315,De Jager Dairy #2 North,11140 Ivy AVE,Chowchilla,Merced,93610,,,,,(209) 769-5496,01/01/1996,San Joaquin River Basin,"X075-X080-X032-XXXX, X075-X080-X037-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11140 Ivy AVE, Chowchilla, CA 93610",37.12564,-120.39931
316,M5 Dairy,10090 Kost RD,Galt,Sacramento,95632,,,,,(209) 810-0066,03/01/1962,Sacramento River Basin,X148-X200-X013-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10090 Kost RD, Galt, CA 95632",38.24003,-121.32143
317,Monster Dairy,1048 Lundy Rd,Newman,Stanislaus,95360,,,,,(209) 678-1792,01/01/1970,San Joaquin River Basin,X049-X032-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1048 Lundy Rd, Newman, CA 95360",37.3474,-121.0262
318,Nunes Dairy,1730 S Healy RD,Merced,Merced,95340,,,,,(209) 384-0948,01/01/1955,San Joaquin River Basin,X066-X270-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1730 S Healy RD, Merced, CA 95340",37.26241,-120.4333
331,"Bar Vee Dairy, Inc.",3031 N Washington RD,Turlock,Stanislaus,95380,,,,,(209) 632-4308,01/01/1973,San Joaquin River Basin,"0023-0056-0005-0000, 0023-0056-0006-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3031 N Washington RD, Turlock, CA 95380",37.51583,-120.90785
332,D5 Farms,5831 S Tegner RD,Turlock,Stanislaus,95380,,,,,(209) 652-2896,01/01/1960,San Joaquin River Basin,X057-X018-X014-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5831 S Tegner RD, Turlock, CA 95380",37.43768,-120.88625
333,Joe and Renee Barroso Dairy,6902 E Legrand RD,Merced,Merced,95341,,,,,(209) 722-6437,01/01/1960,San Joaquin River Basin,X067-X110-X015-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6902 E Legrand RD, Merced, CA 95341",37.2299,-120.36321
337,"Meirinho West, Inc.",1685 Dunn Road,Modesto,Stanislaus,95358,,,,,(209) 578-1403,10/01/1989,San Joaquin River Basin,"X012-X043-X021-XXXX, X012-X043-X031-XXXX, X012-X058-X003-XXXX, X012-X058-X005-XXXX, X012-X058-X006-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1685 Dunn Road, Modesto, CA 95358",37.6581,-121.14572
338,DAVID & SAM WALLACE,17994 S TERCEIRA RD,LOS BANOS,Merced,93635,,,,,(209) 826-8967,01/01/1950,San Joaquin River Basin,"0454-0120-0009-0000, 0454-0140-0006-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17994 S TERCEIRA RD, LOS BANOS, CA 93635",37.0284,-120.80844
