,operator_name,physical_street,physical_city,physical_county,physical_zip,mailing_street,mailing_city,mailing_state,mailing_zip,operator_phone,date_placed_in_operation,basin_plan_designation,assessor_parcels,permit_number,reporting_period,milk_cows_open_confinement,milk_cows_under_roof,milk_cows_max_number,milk_cows_avg_number,dry_cows_open_confinement,dry_cows_under_roof,dry_cows_max_number,dry_cows_avg_number,bred_heifers_open_confinement,bred_heifers_under_roof,bred_heifers_max_number,bred_heifers_avg_number,heifers_7_14_mo_open_confinement,heifers_7_14_mo_under_roof,heifers_7_14_mo_max_number,heifers_7_14_mo_avg_number,calves_4_6_mo_open_confinement,calves_4_6_mo_under_roof,calves_4_6_mo_max_number,calves_4_6_mo_avg_number,calves_0_3_mo_open_confinement,calves_0_3_mo_under_roof,calves_0_3_mo_max_number,calves_0_3_mo_avg_number,predominant_breed,avg_milk_production_lbs_per_cow_per_day,total_animals,total_manure_excreted_tons,total_manure_excreted_tons_per_period,nitrogen_from_manure_lbs,nitrogen_after_ammonia_losses_lbs,phosphorus_from_manure_lbs,potassium_from_manure_lbs,salt_from_manure_lbs,total_nitrogen_generated_lbs,total_phosphorus_generated_lbs,total_potassium_generated_lbs,total_salt_generated_lbs,process_wastewater_generated_gal,process_wastewater_applied_gal,fresh_water_imported_gal,fresh_water_exported_gal,total_water_balance_gal,total_land_applied_acres,application_method,application_timing,soil_type,monitoring_wells,groundwater_monitoring,surface_water_discharge,stormwater_management,spill_prevention,address,latitude,longitude
339,"Joe O. Rocha Dairy, Inc.",18451 W Bradbury RD,Turlock,Merced,95380,,,,,(209) 668-2780,01/01/1971,San Joaquin River Basin,"X045-X009-X005-XXXX, X045-X009-X007-XXXX, X045-X009-X009-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18451 W Bradbury RD, Turlock, CA 95380",37.44315,-120.8195
342,D&M Ag,1933 Hall Road,Denair,Stanislaus,95316,P.O. Box 607,Denair,CA,95316.0,(209) 667-7783,03/01/1981,San Joaquin River Basin,"X024-X004-X022-XXXX, X024-X004-X025-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1933 Hall Road, Denair, CA 95316",37.50881,-120.73985
343,JNM Dairy,7742 Paradise RD,Modesto,Stanislaus,95358,,,,,(209) 404-3909,11/15/2013,San Joaquin River Basin,X017-X027-X040-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7742 Paradise RD, Modesto, CA 95358",37.60535,-121.13853
345,Goncalves Dairy,15782 Arroya AVE,Dos Palos,Merced,93620,,,,,(209) 617-6324,12/01/1986,San Joaquin River Basin,X085-X017-X064-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15782 Arroya AVE, Dos Palos, CA 93620",37.05775,-120.67134
350,Manuel & Jeanette Borges Dairy,10408 S Van Allen RD,Stockton,San Joaquin,95215,,,,,(209) 466-1828,01/01/1920,San Joaquin River Basin,"X185-X110-XX05-XXXX, X205-X180-XX03-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10408 S Van Allen RD, Stockton, CA 95215",37.87292,-121.05238
358,SB Farms,11450 Carroll RD,Elk Grove,Sacramento,95757,,,,,(209) 321-1318,07/01/1979,Sacramento River Basin,X132-X240-XX43-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11450 Carroll RD, Elk Grove, CA 95757",38.33967,-121.40357
359,PH RANCH #3,11586 N Shaffer RD,Winton,Merced,95388,,,,,(209) 358-2328,09/27/1973,San Joaquin River Basin,0042-0260-0023-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11586 N Shaffer RD, Winton, CA 95388",37.45608,-120.58772
360,"T & L Family Dairy, LLC",1131 Story Rd RD,Turlock,San Joaquin,95380,P.O. Box 760,Hilmar,CA,95324.0,(209) 202-1924,12/01/1970,San Joaquin River Basin,X024-X009-X006-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1131 Story Rd RD, Turlock, CA 95380",37.48339,-120.79195
363,De Carvalho Bros. Dairy,8342 Maze BLVD,Modesto,Stanislaus,95358,,,,,(209) 548-9317,01/01/1972,San Joaquin River Basin,0012-0047-0003-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8342 Maze BLVD, Modesto, CA 95358",37.63742,-121.14764
364,Frank Borges Heifer Ranch #2,28533 Two Rivers Rd.,Manteca,San Joaquin,95337,,,,,(209) 985-9933,08/01/1985,San Joaquin River Basin,X257-X050-X030-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28533 Two Rivers Rd., Manteca, CA 95337",37.69532,-121.22865
367,Henry Jongsma and Son Dairy,,,,95963,,,,,(915) 202-9293,06/13/2007,Sacramento River Basin,"0023-0150-0014-0000, 0023-0160-0002-0000, 0023-0160-0005-0000",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.0,425.0,1700.0,1700.0,0.0,72.0,290.0,290.0,675.0,225.0,900.0,900.0,520.0,175.0,700.0,700.0,Holstein,60.0,3590.0,,61635.69,748825.35,524177.75,124407.95,314396.69,867130.5,,,,,48366314.0,48366314.0,0.0,0.0,,,,,,,,,,,"nan, nan, CA 95963",39.7474,-122.19544
370,Machado Dairy Farms #3,11685 E Mariposa RD,Stockton,San Joaquin,95215,P.O. Box 4430,Manteca,CA,95337.0,(209) 602-3473,01/01/1970,San Joaquin River Basin,0181-0070-0001-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11685 E Mariposa RD, Stockton, CA 95215",37.91107,-121.16029
375,Creekside Farms,6259 County Road 25,Orland,Glenn,95963,,,,,(530) 865-8368,01/01/1960,Sacramento River Basin,"0024-0150-0019-0009, 0024-0150-0030-0009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6259 County Road 25, Orland, CA 95963",39.697,-122.22252
377,James J. Oliveira,730 W Monte Vista,Ceres,Stanislaus,95307,,,,,(209) 595-6910,01/01/1936,San Joaquin River Basin,0022-0023-0003-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"730 W Monte Vista, Ceres, CA 95307",37.52029,-121.00368
378,Toste Dairy,609 Santa Fe Grade,Newman,Merced,95360,,,,,(209) 862-1812,01/01/1965,San Joaquin River Basin,0054-0090-0001-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"609 Santa Fe Grade, Newman, CA 95360",37.29778,-120.98741
379,Robert Gioletti and Sons Dairy Inc. #2,10218 Fulkerth RD,Ceres,Stanislaus,95307,,,,,(209) 667-6024,01/01/1960,San Joaquin River Basin,"X022-X040-X006-XXXX, X022-X040-X007-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10218 Fulkerth RD, Ceres, CA 95307",37.50618,-120.96599
383,Jelle Van Der Hoek,337 Gates RD,Modesto,Stanislaus,95358,,,,,(209) 523-9343,01/15/1945,San Joaquin River Basin,X012-X044-X012-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"337 Gates RD, Modesto, CA 95358",37.64299,-121.1637
385,D Barcellos Dairy,2892 N Gurr RD,Atwater,Merced,95301,,,,,(209) 000-0000,01/01/1950,San Joaquin River Basin,X005-X210-X007-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2892 N Gurr RD, Atwater, CA 95301",37.33004,-120.55816
386,Alves and Son Dairy #2,13831 East Ave. AVE,Turlock,Merced,95380,,,,,(209) 585-8221,09/01/1985,San Joaquin River Basin,"X041-X090-X004-XXXX, X041-X110-X027-XXXX, X041-X110-X028-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13831 East Ave. AVE, Turlock, CA 95380",37.49138,-120.73769
387,Van Tol Dairy No. 2,6756 County Road 30,Orland,Glenn,95963,,,,,(530) 934-0163,01/04/1991,Sacramento River Basin,0024-0050-0015-0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6756 County Road 30, Orland, CA 95963",39.65679,-122.16515
390,Cal-Denier Dairy LLC,10715 Arno RD,Galt,Sacramento,95632,,,,,(209) 745-4982,08/01/1981,San Joaquin River Basin,"X134-X280-X050-XXXX, X150-X072-X003-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10715 Arno RD, Galt, CA 95632",38.33647,-121.29153
391,Azevedo Dairy #3,227 W El Nido RD,El Nido,Merced,95317,,,,,(209) 564-7596,01/01/1950,San Joaquin River Basin,X074-X110-X035-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"227 W El Nido RD, El Nido, CA 95317",37.13457,-120.49678
392,Anchor J Dairy,24507 W First ST,Stevinson,Merced,95374,,,,,(209) 634-4908,03/01/1993,San Joaquin River Basin,"X055-X010-X007-XXXX, X055-X030-X006-XXXX, X055-X030-X015-XXXX, X055-X030-X016-XXXX, X055-X030-X044-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24507 W First ST, Stevinson, CA 95374",37.34188,-120.93317
400,Soares Dairy Farms - Laguna (Previously Melo Dairy),11675 W Laguna RD,Dos Palos,Merced,93620,,,,,(209) 752-9301,01/01/1964,San Joaquin River Basin,"0085-0200-0012-0000, 0086-0170-0002-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11675 W Laguna RD, Dos Palos, CA 93620",37.04352,-120.70217
401,Joe & Teresa Soares Dairy #1,11076 Vincent RD,Turlock,Merced,95380,P.O. Box 189,Delhi,CA,95135.0,(209) 652-2990,01/01/1950,San Joaquin River Basin,X041-X162-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11076 Vincent RD, Turlock, CA 95380",37.45013,-120.77518
403,Cottonwood Dairy,10561 W 140 HWY,Atwater,Merced,95301,P.O. Box 775,Atwater,CA,95301.0,(209) 394-7984,06/01/1980,San Joaquin River Basin,"XX56-XX16-XX12-XXXX, XX56-XX16-XX13-XXXX, XX56-XX17-XX11-XXXX, XX56-XX18-XXX7-XXXX, XX56-XX19-XX11-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10561 W 140 HWY, Atwater, CA 95301",37.30058,-120.6757
408,Sunwest Jersey Dairy,22270 W Bloss AVE,Hilmar,Merced,95324,,,,,(209) 667-4582,01/01/1950,San Joaquin River Basin,X045-X180-X017-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22270 W Bloss AVE, Hilmar, CA 95324",37.40536,-120.89145
409,IVY STAR Dairy LLC,14903 Volta RD,Los Banos,Merced,93635,,,,,(209) 826-1065,12/12/1972,San Joaquin River Basin,0078-1400-0042-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14903 Volta RD, Los Banos, CA 93635",37.07179,-120.92834
413,Machado Dairy Farms #1,28128 S Two Rivers RD,Manteca,San Joaquin,95337,P.O. Box 4430,Manteca,CA,95337.0,(209) 602-8598,01/01/1970,San Joaquin River Basin,0257-0170-0025-0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28128 S Two Rivers RD, Manteca, CA 95337",37.69788,-121.22192
414,MHF Dairy,501 S Story RD,Turlock,Stanislaus,95380,,,,,(209) 652-6929,06/01/1981,San Joaquin River Basin,X024-X009-X034-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"501 S Story RD, Turlock, CA 95380",37.48926,-120.792
417,Double D Dairy #4 (former Diamond B Dairy #3),8201 Mitchell RD,Ceres,Stanislaus,95307,,,,,(209) 542-0281,01/01/1974,San Joaquin River Basin,X022-X019-X004-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8201 Mitchell RD, Ceres, CA 95307",37.51821,-120.94287
418,Wooden Shoe Dairy,5237 Langworth RD,Oakdale,Stanislaus,95361,,,,,(209) 535-1929,05/15/2007,Sacramento River Basin,X062-X029-X014-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5237 Langworth RD, Oakdale, CA 95361",37.71604,-120.89425
420,Sited Oak Dairy,26972 N Dustin RD,Acampo,San Joaquin,95220,,,,,(209) 369-9379,01/01/1949,San Joaquin River Basin,X007-X030-XX18-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26972 N Dustin RD, Acampo, CA 95220",38.23376,-121.22655
421,DaSilva Dairy Farms LLC #1,27398 E Dodds RD,Escalon,San Joaquin,95320,,,,,(209) 000-0000,04/01/1979,San Joaquin River Basin,X207-X210-X001-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27398 E Dodds RD, Escalon, CA 95320",37.85369,-120.97585
424,Zuppan Dairy,4740 County Road QQ,Orland,Glenn,95963,,,,,(530) 966-8051,09/12/1975,Sacramento River Basin,"0044-0200-0004-0000, 0044-0200-0005-0000, 0044-0200-0014-0000, 0044-0340-0001-0000, 0044-0340-0002-0000, 0044-0340-0003-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4740 County Road QQ, Orland, CA 95963",39.77383,-122.12256
432,"CMC Jerseys, LLC (Formerly Seward Farms)",23204 Bloss AVE,Hilmar,Merced,95324,,,,,(209) 668-0867,01/01/1945,San Joaquin River Basin,X045-X180-X047-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23204 Bloss AVE, Hilmar, CA 95324",37.40494,-120.90852
439,Carvalho Dairy,11443 Crows Landing RD,Crows Landing,Stanislaus,95313,,,,,(209) 632-1406,06/01/1952,San Joaquin River Basin,"X058-X022-X023-XXXX, X058-X022-X027-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11443 Crows Landing RD, Crows Landing, CA 95313",37.47309,-121.00163
443,Dias Family Dairy,21330 W Second AVE,Stevinson,Merced,95374,P.O. Box 486,HILMAR,CA,95324.0,(209) 667-6566,01/01/1905,San Joaquin River Basin,X055-X120-X008-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21330 W Second AVE, Stevinson, CA 95374",37.33688,-120.87555
444,Gabriel Machado & Sons Dairy,12464 S Vincent RD,Turlock,Merced,95380,,,,,(209) 632-3068,01/01/1970,San Joaquin River Basin,X041-X130-X008-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12464 S Vincent RD, Turlock, CA 95380",37.46994,-120.77581
448,Rivercrest Cattle Co.,8600 Dos Rios LN,Modesto,Stanislaus,95358,,,,,(209) 599-2565,01/01/1990,San Joaquin River Basin,X017-X066-X006-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8600 Dos Rios LN, Modesto, CA 95358",37.57337,-121.15112
453,Moonshine Dairy,22922 Kilburn RD,Crows Landing,Stanislaus,95313,,,,,(209) 837-9414,09/15/2003,San Joaquin River Basin,"X049-X016-X001-XXXX, X049-X016-X002-XXXX, X049-X017-X001-XXXX, X049-X018-X001-XXXX, X049-X023-X012-XXXX, X049-X024-X004-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22922 Kilburn RD, Crows Landing, CA 95313",37.39664,-121.01508
454,Soares Dairy Farms Inc. - Mercy Springs,21750 S Mercey Springs RD,Los Banos,Merced,93635,,,,,(209) 826-3626,04/01/1940,San Joaquin River Basin,X088-X103-X009-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21750 S Mercey Springs RD, Los Banos, CA 93635",36.97226,-120.83239
455,Martins Dairy,3319 Gates RD,Modesto,Stanislaus,95358,,,,,(209) 604-2308,08/01/1991,San Joaquin River Basin,X012-X021-X016-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3319 Gates RD, Modesto, CA 95358",37.68604,-121.15972
457,Antonio Azevedo Dairy # 4,1257 W Roosevelt RD,El Nido,Merced,95317,,,,,(209) 723-0562,12/17/1988,San Joaquin River Basin,X074-X110-X026-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1257 W Roosevelt RD, El Nido, CA 95317",37.14192,-120.51489
458,Diamond 0 Dairy,2743 Baker RD,Modesto,Stanislaus,95358,,,,,(209) 522-3865,07/01/1970,San Joaquin River Basin,X017-X037-X006-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2743 Baker RD, Modesto, CA 95358",37.59983,-121.09965
465,Wickstrom Jersey Farms,5638 Columbus AVE,Hilmar,Merced,95324,,,,,(209) 495-8797,01/01/1973,San Joaquin River Basin,X045-X350-X014-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5638 Columbus AVE, Hilmar, CA 95324",37.36996,-120.86868
468,Triangle S Dairy LLC,5600 W Palm AVE,Winton,Merced,95388,,,,,(209) 358-9201,08/01/1969,San Joaquin River Basin,"0052-0040-0067-0000, 0052-0090-0002-0000, 0052-0090-0021-0000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5600 W Palm AVE, Winton, CA 95388",37.42046,-120.58765
471,Correia Family Dairy,26380 W Fahey RD,Gustine,Merced,95322,,,,,(209) 652-0029,01/01/1984,Sacramento River Basin,X020-X270-X008-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26380 W Fahey RD, Gustine, CA 95322",37.12249,-120.96773
475,Creekside Dairy,23234 Lone Tree RD,Escalon,San Joaquin,95320,,,,,(209) 838-1180,01/01/1957,San Joaquin River Basin,"X229-X050-XX02-XXXX, X229-X050-XX06-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23234 Lone Tree RD, Escalon, CA 95320",37.82219,-121.02393
479,John & Nicole Santos Dairy #2,5245 S HWY 33,Gustine,Merced,95322,,,,,(209) 993-8662,01/01/1942,San Joaquin River Basin,X063-X240-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5245 S HWY 33, Gustine, CA 95322",37.21323,-121.01918
482,Tiberio Azevedo Dairy,21480 August AVE,Hilmar,Merced,95324,,,,,(209) 678-3074,01/01/1980,San Joaquin River Basin,X045-X140-X049-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21480 August AVE, Hilmar, CA 95324",37.42186,-120.87709
483,Luis Correia Dairy,11132 Schultz RD,El Nido,Merced,95317,,,,,(209) 201-1520,01/01/1940,San Joaquin River Basin,X075-X073-X003-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11132 Schultz RD, El Nido, CA 95317",37.12611,-120.44174
485,Wagner Dairy L.P.,22176 Skiff RD,Escalon,San Joaquin,95320,,,,,(209) 838-7547,01/01/1945,San Joaquin River Basin,"X187-X250-XX06-XXXX, X205-X200-XX02-XXXX, X207-X160-XX01-XXXX, X207-X160-XX02-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22176 Skiff RD, Escalon, CA 95320",37.86756,-121.04059
490,Ahlem Farms Vista,6401 Taylor RD,Denair,Stanislaus,95316,,,,,(209) 632-5822,01/01/1999,San Joaquin River Basin,"X019-X038-X005-XXXX, X019-X038-X015-XXXX, X019-X039-X022-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6401 Taylor RD, Denair, CA 95316",37.53911,-120.77626
492,Souza Brothers Dairy,3887 McCullagh RD,Stevinson,Merced,95374,,,,,(209) 632-3773,01/01/1940,San Joaquin River Basin,X055-X120-X045-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3887 McCullagh RD, Stevinson, CA 95374",37.34459,-120.87869
498,Forebay Farms LLC - Road 6,5615 Ave 24,Chowchilla,Madera,93610,P.O. Box 2717,Merced,CA,95344.0,(209) 383-6075,01/01/1970,San Joaquin River Basin,"X020-X012-X002-XXXX, X020-X012-X003-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5615 Ave 24, Chowchilla, CA 93610",37.10065,-120.44354
501,Moreda Valley Dairy,20967 Paradise RD,Tracy,San Joaquin,95304,,,,,(707) 782-0322,08/01/2004,San Joaquin River Basin,"X213-X080-X026-XXXX, X213-X080-X030-XXXX, X213-X080-X032-XXXX, X213-X080-X035-XXXX, X213-X080-X036-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20967 Paradise RD, Tracy, CA 95304",37.76896,-121.38635
502,Double D Dairy,2207 Roberts RD,Ceres,Stanislaus,95307,,,,,(209) 537-4133,06/24/2005,San Joaquin River Basin,"X022-X013-X011-XXXX, X022-X013-X012-XXXX, X022-X014-X001-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2207 Roberts RD, Ceres, CA 95307",37.52603,-120.956
503,Pires Dairy Farms,1622 Kniebes RD,Gustine,Merced,95322,,,,,(209) 652-3530,09/02/1992,San Joaquin River Basin,"X063-X002-X004-XXXX, X063-X004-X007-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1622 Kniebes RD, Gustine, CA 95322",37.26557,-120.98161
504,Joe Soares Dairy #4,9207 American Ave,Hilmar,Stanislaus,95324,P.O. Box 189,Delhi,CA,95135.0,(209) 652-2990,01/01/1930,San Joaquin River Basin,"X045-X020-X004-XXXX, X057-X023-X009-XXXX, X057-X023-X017-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9207 American Ave, Hilmar, CA 95324",37.41245,-120.95332
507,Koolhaas Dairy #2,24544 E Lone Tree RD,Escalon,San Joaquin,95320,,,,,(209) 595-3253,05/17/1978,San Joaquin River Basin,"X229-X06X-009X-XXXX, X229-X06X-012X-XXXX, X229-X06X-020X-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24544 E Lone Tree RD, Escalon, CA 95320",37.82727,-121.00793
510,Luis C Nunes & Sons Dairy #1,29191 Husman RD,Gustine,Merced,95322,,,,,(209) 652-7647,01/01/1960,San Joaquin River Basin,"X070-X060-X004-XXXX, X070-X060-X005-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29191 Husman RD, Gustine, CA 95322",37.15846,-121.0172
511,"Magneson Dairy, Inc.",10235 W El Capitan WAY,Ballico,Merced,95312,P.O. Box 250,Cressey,CA,95312.0,(209) 394-2848,07/01/1980,San Joaquin River Basin,X140-X800-X240-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10235 W El Capitan WAY, Ballico, CA 95312",37.4328,-120.67184
513,E.R. Prins Dairy #1,10385 Van Allen RD,Stockton,San Joaquin,95215,,,,,(209) 838-1627,01/01/1985,San Joaquin River Basin,X205-X160-XX07-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10385 Van Allen RD, Stockton, CA 95215",37.87401,-121.05826
514,"S&S Dairy, Inc.",348 E Monte Vista RD,Ceres,Stanislaus,95307,,,,,(209) 606-4894,01/01/1968,San Joaquin River Basin,X022-X026-X014-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"348 E Monte Vista RD, Ceres, CA 95307",37.519,-120.98901
519,U-Bar Dairy,11100 Liberty RD,Galt,San Joaquin,95632,,,,,(209) 367-4230,01/01/1960,San Joaquin River Basin,X007-X140-XX44-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11100 Liberty RD, Galt, CA 95632",38.22974,-121.18182
522,Joe Alves & Son Dairy,13745 Newport RD,Turlock,Merced,95380,,,,,(123) 000-0000,01/01/1978,San Joaquin River Basin,X041-X110-X014-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13745 Newport RD, Turlock, CA 95380",37.48826,-120.70368
523,Blue Sky Dairy,4390 N Fox RD,Merced,Merced,95340,,,,,(209) 652-7898,01/01/1961,San Joaquin River Basin,X005-X100-X013-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4390 N Fox RD, Merced, CA 95340",37.3519,-120.54915
524,CMA #2,23970 W August AVE,Hilmar,Merced,95324,,,,,(209) 668-0867,01/01/1956,San Joaquin River Basin,X045-X005-X130-X057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23970 W August AVE, Hilmar, CA 95324",37.41952,-120.92182
527,Manuel Oliveira Dairy,4235 Oak AVE,Merced,Merced,95340,,,,,(209) 388-0501,01/01/1970,San Joaquin River Basin,"X215-X140-X041-XXXX, X215-X140-X042-XXXX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4235 Oak AVE, Merced, CA 95340",37.27893,-120.56456
528,Antero Borges Dairy,2226 Hull RD,Atwater,Merced,95301,,,,,(209) 358-0680,01/01/1940,San Joaquin River Basin,X056-X092-X001-XXXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2226 Hull RD, Atwater, CA 95301",37.31669,-120.62374
